Network Name,Latitude,Longitude,EOVs sampled,Date start sampled,Date end sampled,sampling site name,Original Order
OTNGlobal,27.04,-79.15,NA,6/25/14,8/11/17,NH13,5740
OTNGlobal,27,-79.14,NA,10/20/13,8/9/18,NH9,15013
OTN,27.01,-79.14,NA,2/28/09,NA,TIBE,16299
OTNGlobal,27.01,-79.13,NA,6/25/14,8/11/18,NH-CH,10180
OTNGlobal,26.99,-79.13,NA,10/20/13,8/9/18,NH8,15874
OTNGlobal,27.04,-79.13,NA,6/24/14,8/10/18,NH14,13438
OTNGlobal,27.03,-79.12,NA,6/24/14,8/10/18,NH15,5695
OTNGlobal,26.97,-79.12,NA,10/20/13,8/9/18,NH6,12134
OTNGlobal,26.98,-79.12,NA,10/20/13,8/9/18,NH7,9249
OTNGlobal,27.02,-79.12,NA,6/25/14,8/10/18,NH16,15915
OTNGlobal,25.8,-79.11,NA,9/25/15,2/27/16,hesperus,8485
OTNGlobal,27.01,-79.11,NA,6/29/14,8/10/18,NH17,14449
OTNGlobal,26.96,-79.11,NA,10/20/13,8/9/18,NH5,8568
OTNGlobal,26.95,-79.11,NA,10/20/13,8/9/18,NH4,10177
OTNGlobal,26.93,-79.1,NA,10/20/13,NA,NH3,5349
OTNGlobal,27,-79.1,NA,6/25/14,8/11/18,NH18,13778
OTNGlobal,26.92,-79.1,NA,10/20/13,8/11/17,NH2,7643
OTNGlobal,26.03,-79.09,NA,6/27/17,4/26/18,Great Isacs NW,10025
OTNGlobal,26.91,-79.09,NA,10/20/13,8/9/18,NH1,9903
OTNGlobal,26.97,-79.09,NA,6/23/14,8/10/18,NH20,15844
OTNGlobal,26.99,-79.09,NA,6/25/14,8/11/18,NH19,15888
OTNGlobal,26.02,-79.09,NA,NA,NA,Great Isaac's South West,21880
OTNGlobal,26.03,-79.08,NA,6/27/17,4/26/18,Great Isacs NE,7723
OTNGlobal,26.91,-79.08,NA,6/23/14,8/11/18,NH27(X),15217
OTNGlobal,26.97,-79.08,NA,6/23/14,8/10/18,NH21,11574
OTNGlobal,26.95,-79.08,NA,6/23/14,8/11/18,NH22,15929
OTNGlobal,26.94,-79.08,NA,6/23/14,8/11/18,NH23,6197
OTNGlobal,26.93,-79.07,NA,6/23/14,8/11/17,NH24,8577
OTNGlobal,26.92,-79.07,NA,6/23/14,8/11/18,NH25,8030
OTNGlobal,26.91,-79.06,NA,6/24/14,8/11/18,NH26 (JZ),15996
OTNGlobal,26.67,-78.97,NA,1/20/15,6/2/15,V2LGBI067,7984
OTNGlobal,26.65,-78.94,NA,1/20/15,6/2/15,V2LGBI066,6620
OTNGlobal,26.64,-78.92,NA,1/20/15,6/2/15,V2LGBI065,12156
OTNGlobal,26.62,-78.91,NA,1/20/15,6/2/15,V2LGBI064,10930
OTNGlobal,26.6,-78.89,NA,1/20/15,6/2/15,V2LGBI063,10371
OTNGlobal,26.58,-78.86,NA,1/20/15,6/2/15,V2LGBI062,15066
OTNGlobal,26.53,-78.8,NA,1/20/15,6/2/15,V2LGBI061,5679
OTNGlobal,26.49,-78.72,NA,1/20/15,6/2/15,V2LGBI060,10993
